MD(ft),Hookload(kips),Torque(klb-ft),SPP(psi)
3110.5,,5469.109297,
3111.0,,5424.624532,
3111.5,,5728.6288,2166.284265
3112.0,,5875.70772,
3112.5,,5515.201668,
3113.0,,5435.552995,
3113.5,,5908.342643,
3114.0,,5188.310288,
3114.5,,5396.34707,
3115.0,,5593.541334,2159.074352
3115.5,,5280.193857,2149.166381
3116.0,,5634.161469,2140.095324
3116.5,,4635.567354,
3117.0,,5458.29512,2173.147412
3117.5,,4845.420703,2094.367738
3118.0,,5086.853164,2100.573996
3118.5,,5264.608084,
3119.0,,5105.40654,
3119.5,,5455.022443,
3120.0,,5218.887352,
3120.5,,5302.20637,2114.586025
3121.0,,5302.729963,2120.165787
3121.5,,5496.37983,2117.209929
3122.0,,5062.189347,2110.103846
3122.5,,5127.585906,2126.111229
3123.0,,5700.735872,2147.631651
3123.5,,5335.376714,2130.448443
3124.0,,5013.225228,2133.910862
3124.5,,5019.397627,2134.401584
3125.0,104.997335,5343.937894,2131.784403
3125.5,104.861889,5589.25105,2136.170868
3126.0,93.419754,5153.290431,2046.107514
3126.5,,5079.504912,1938.237844
3127.0,,5133.01336,1913.042206
3127.5,,5120.501288,1994.80395
3128.0,,5050.676295,2056.127495
3128.5,,5184.529869,2023.157096
3129.0,,5072.982088,2031.97362
3129.5,,4987.390026,2023.578288
3130.0,,5223.252325,2008.268985
3130.5,,4990.092378,2036.892643
3131.0,,4940.865396,2054.741081
3131.5,,5102.994175,2058.652499
3132.0,,5563.97018,2096.755608
3132.5,,5746.193702,2093.282326
3133.0,,5358.672308,2108.5842
3133.5,,5246.236121,2039.531703
3134.0,,4870.59681,2038.751657
3134.5,,4467.451905,2029.725024
3135.0,,4974.441626,2032.94817
3135.5,,4913.764044,2039.079537
3136.0,,4712.912575,2028.964336
3136.5,,4780.465572,2055.005474
3137.0,,5166.13059,2102.487429
3137.5,,5544.949287,2111.129474
3138.0,,5192.929689,2091.053569
3138.5,,4873.65004,2114.340679
3139.0,,5323.200697,2106.933718
3139.5,,5508.091682,2121.227079
3140.0,,5156.361281,2108.041108
3140.5,,4867.187999,2108.672122
3141.0,,5349.094204,2088.35401
3141.5,,5647.949647,2090.076572
3142.0,,5655.207625,2076.380405
3142.5,,5239.742493,2051.15427
3143.0,,5203.426216,2076.814352
3143.5,,5075.192699,2051.704084
