MD(ft),Hookload(kips),Torque(klb-ft),SPP(psi),Torque(klb-ft)
3177.5,,4628.326128,1355.388666,
3178,,3734.246318,1317.838517,
3178.5,,3698.608340,1284.774187,
3179,,4169.282353,1318.117180,
3179.5,,4888.805230,1377.710091,
3180,,4779.370210,1391.783125,
3180.5,,4109.487466,1364.325448,
3181,,3546.941610,1290.319067,
3181.5,,3755.317543,1288.546220,
3182,,3979.144425,1309.520528,
3182.5,,4057.028055,1318.564265,
3183,,3985.929867,1341.591148,
3183.5,,3884.695488,1305.184618,
3184,,3971.535378,1352.120856,
3184.5,,4704.608100,1381.125530,
3185,,4360.002096,1376.260940,
3185.5,,2834.803886,1277.736593,
3186,,3350.061463,1220.647392,
3186.5,,3545.403965,1273.623370,
3187,,3530.429934,1285.766128,
3187.5,,3620.304602,1258.687459,
3188,,3836.607951,1280.918259,
3188.5,,3596.665354,1279.466834,
3189,,3886.196630,1297.272410,
3189.5,,3825.999546,1308.600668,
3190,,3245.164443,1278.343612,
3190.5,,3972.579299,1286.275036,
3191,109.489668,4607.976692,1332.344297,1349.801496
3191.5,109.521688,3379.899720,1318.192613,1338.219682
3192,108.555251,3598.180842,1240.642738,1366.946968
3192.5,104.565257,3395.743212,1274.530759,1961.531815
3193,101.987111,3029.948781,1365.827405,2457.723447
3193.5,,3373.979545,1415.641037,
3194,,3297.775844,1430.629539,
3194.5,,3027.847271,1385.794632,
3195,,2937.489447,1384.081138,
3195.5,,3113.905263,1389.563297,
3196,,2905.387355,1384.960181,
3196.5,,3540.238880,1405.018820,
3197,,4221.594747,1488.395087,
3197.5,,3748.917464,1497.900941,
3198,,3803.952120,1503.037348,
3198.5,,3329.973010,1456.781160,
3199,,3442.348650,1458.374245,
3199.5,,3548.611617,1438.490514,
3200,,3234.898881,1421.855938,
3200.5,,3433.767535,1418.648106,
3201,,3875.068936,1491.840714,
3201.5,,3989.812737,1473.339601,
3202,,4130.727554,1527.506872,
3202.5,,4095.301880,1514.262056,
3203,,4116.713159,1537.142725,
3203.5,,3854.254811,1507.849719,
3204,,3670.782772,1479.874997,
3204.5,,3683.586105,1465.960860,
3205,,3337.567461,1463.643087,
3205.5,,3580.856599,1472.669078,
3206,,3654.226441,1482.296354,
3206.5,,3943.283248,1495.677683,
3207,,3936.016626,1481.741775,
3207.5,,4364.609877,1504.511275,
3208,,4348.132362,1520.665801,
3208.5,,3616.684085,1494.876674,
3209,,3346.381629,1467.178326,
3209.5,,3397.631377,1464.100767,
3210,,3264.472800,1431.334596,
3210.5,,3445.177029,1468.987659,
3211,,3759.019025,1475.745182,
3211.5,,3679.319988,1494.098141,
3212,,3269.814602,1448.211306,
3212.5,,3781.642189,1471.372047,
3213,,3804.055061,1469.152085,
3213.5,,4298.281939,1514.568227,
3214,,4126.567058,1506.507459,
3214.5,,4355.393618,1525.748793,
3215,,4652.351856,1534.638122,
3215.5,,4307.589213,1553.257941,
3216,,4362.766492,1554.872586,
3216.5,,4322.073578,1557.980814,
3217,,3545.276927,1493.474808,
3217.5,,3359.008361,1448.553957,
3218,,3200.024738,1451.236158,
3218.5,,3302.175831,1423.462956,
3219,,3804.444580,1447.109369,
3219.5,,4132.112031,1497.556437,
3220,,4534.431197,1538.428632,
3220.5,,4356.298815,1565.028890,
3221,,4193.215749,1561.766601,
3221.5,,4464.391239,1569.922129,
3222,,3735.811706,1527.155145,
3222.5,,4146.171878,1553.409639,
3223,,3651.385122,1521.725548,
3223.5,,4277.032673,1502.730956,
3224,,4556.754251,1568.102470,
3224.5,,4919.742378,1596.225299,
3225,,4315.545626,1571.409297,
3225.5,,3763.624899,1521.641235,
3226,,3555.952499,1470.157290,
3226.5,,3646.423484,1482.985123,
3227,,4080.775721,1515.990169,
