MD(ft),Hookload(kips),Torque(klb-ft),SPP(psi)
2907,,9472.959311,778.892927
2907.5,,9404.427682,780.708756
2908,,11035.242020,786.708667
2908.5,,9931.402454,794.190542
2909,,9193.031268,821.629384
2909.5,,9452.046425,819.523523
2910,,9494.283758,810.958195
2910.5,,8731.294272,804.918149
2911,101.214122,12307.865320,795.840883
2911.5,101.857674,11920.203558,799.760912
2912,99.815289,9999.835755,925.945687
2912.5,98.886940,7362.840176,1326.295289
2913,,5348.039139,1869.299798
2913.5,,5387.996786,1905.554006
2914,,5224.624456,1928.946584
2914.5,,5142.767231,1941.541226
2915,,5103.181948,1917.453339
2915.5,,5098.154812,1916.650168
2916,,4956.666911,1930.295026
2916.5,,5136.745005,1920.136534
2917,,4684.039234,1864.519458
2917.5,,5046.519632,1863.182939
2918,,4893.836888,1871.957578
2918.5,,5305.401546,1884.779987
2919,,5484.318285,1954.928886
2919.5,,5103.130051,2006.682135
2920,,5111.734802,1977.683733
2920.5,,4977.106246,2009.411866
2921,,5121.094159,2006.495607
2921.5,,5127.753336,2033.251534
2922,,4951.195563,2040.923521
2922.5,,5189.396691,2058.294545
2923,,5061.932172,2032.919639
2923.5,,4826.990744,2019.135113
2924,,4837.366520,2025.872626
2924.5,,5001.068551,2020.909145
2925,,5030.184330,2042.573325
2925.5,,5073.213441,2007.124341
2926,,4977.631266,2010.963380
2926.5,,4843.205197,1994.173256
2927,,5131.279159,2032.032858
2927.5,,4957.698608,2004.998012
2928,,5131.376099,2000.731126
2928.5,,4923.395761,1993.104829
2929,,4658.170670,1975.239401
2929.5,,4766.163706,1982.339807
2930,,4590.211584,1996.973932
2930.5,,4638.096944,1998.086722
2931,,4728.464036,1985.560477
2931.5,,4910.426736,1981.710734
2932,,4739.099137,1979.374216
2932.5,,4624.731156,1998.688414
2933,,4664.578703,1983.476531
2933.5,,4958.545188,2017.179728
2934,,5043.197182,2000.653322
2934.5,,4746.813501,2000.224787
2935,,4754.671674,1984.407061
2935.5,,4793.821089,1987.859623
2936,,5298.783904,1963.154764
2936.5,,4805.678708,1989.203448
2937,,4963.023757,1986.058105
2937.5,,4980.194053,1968.961101
2938,,5204.027047,1981.558666
2938.5,98.100000,5017.903203,1961.528265
2939,101.063639,4697.060729,1958.352969
2939.5,101.058089,5120.661291,1960.449856
2940,90.092104,5183.971731,1902.013473
2940.5,86.107821,4757.527687,1903.917678
2941,,4929.242874,1987.803688
2941.5,,5428.401108,1990.984414
2942,,5432.120352,2110.696529
2942.5,,5824.787045,2167.608951
2943,,5584.129564,2134.129206
2943.5,,5537.495077,2173.960294
2944,,5558.364279,2188.058950
2944.5,,5663.123526,2190.582327
2945,,6439.990444,2133.162302
2945.5,,5108.428332,2176.525394
2946,,5210.788306,2152.618889
2946.5,,5593.650252,2158.313624
2947,,5584.459382,2180.559935
2947.5,,5486.251006,2181.239651
2948,,5602.486528,2223.434701
2948.5,,5822.875875,2198.689574
2949,,5566.009747,2214.514962
2949.5,,5255.277900,2188.130055
2950,,5225.067023,2197.850864
2950.5,,5660.416772,2198.562848
2951,,5547.610612,2189.435368
2951.5,,5480.570165,2182.634312
2952,,5235.254769,2165.633946
2952.5,,5830.915762,2169.031481
2953,,5670.386277,2182.848250
2953.5,,5484.866381,2172.504746
2954,,5956.081091,2155.419668
2954.5,,5678.457365,2192.089627
2955,,5694.338337,2201.844311
2955.5,,5903.651661,2216.319227
2956,,5799.938758,2210.046573
2956.5,,5436.368653,2230.059180
2957,,5952.107911,2201.777337
2957.5,,6433.252274,2245.009705
2958,,5936.864794,2269.171270
2958.5,,5876.737589,2223.410089
2959,,6138.464699,2260.041954
2959.5,,5972.202851,2356.349535
2960,,5575.004788,2336.979078
2960.5,,5831.428180,2284.497236
2961,,5989.401391,2297.672434
2961.5,,5826.040481,2238.757695
2962,,5663.429101,2253.751416
2962.5,,5405.169315,2274.124042
2963,,5357.754752,2225.121829
2963.5,,5588.525843,2245.595483
2964,,5326.446335,2230.112986
2964.5,,5305.968047,2229.257499
2965,,5349.450572,2166.309867
2965.5,,6026.898050,2159.298033
2966,,5655.656920,2158.148523
2966.5,,5312.676146,2178.305034
2967,,5362.820141,2233.561565
2967.5,,5394.143882,2269.366027
2968,,5601.142889,2222.839918
2968.5,,5358.448620,2190.926083
2969,,5279.265884,2172.899550
2969.5,,5758.792622,2177.549181
2970,,5804.010813,2188.598560
2970.5,,5448.431602,2198.469388
2971,,5684.317395,2198.581265
2971.5,,5535.117516,2197.623891
2972,,5534.341836,2216.547726
2972.5,,5857.906248,2233.999736
2973,,5261.366070,2207.378399
2973.5,,5683.896216,2211.451072
2974,,5197.463522,2205.788114
2974.5,,5103.877919,2214.029041
2975,,5533.212128,2211.428599
2975.5,,5770.504742,2180.264266
2976,,5593.481946,2176.184808
2976.5,,5444.110070,2187.130415
2977,,5014.634941,2162.552255
2977.5,,5682.799636,2180.652457
2978,,5571.985747,2147.213331
